dataset,datasetId,project,projectId,siteName,siteId,siteType,siteTypeId,parentSiteName,parentSiteId,topParentSiteName,topParentSiteId,dateCommissioned,description,polygonWkt,pointWkt,latitude,longitude,altitude,pointPositionWithinPlot,pointPositionWithinPlotId
TERN Ecosystem Processes,http://linked.data.gov.au/dataset/tern-ecosystem-processes,N/A,N/A,"Alice Mulga, core1ha",http://linked.data.gov.au/dataset/ausplots/site-ntabrt0002,plot,http://linked.data.gov.au/def/tern-cv/8cadf069-01d7-4420-b454-cae37740c2a2,Alice Mulga,https://w3id.org/tern/resources/e729eba7-215a-4626-9d13-feece79c41ad,Alice Mulga,https://w3id.org/tern/resources/e729eba7-215a-4626-9d13-feece79c41ad,N/A,N/A,N/A,POINT(133.2506306 -22.28366944),-22.283670,133.250600,N/A,South West,http://linked.data.gov.au/def/tern-cv/4dd22567-d692-44e7-b29d-b80eaff829dc
TERN Ecosystem Processes,http://linked.data.gov.au/dataset/tern-ecosystem-processes,N/A,N/A,"Boyagin Wandoo Woodland, core1ha",http://linked.data.gov.au/dataset/ausplots/site-waaavw0004,plot,http://linked.data.gov.au/def/tern-cv/8cadf069-01d7-4420-b454-cae37740c2a2,Boyagin Wandoo Woodland,https://w3id.org/tern/resources/cd2edde0-894d-444b-9139-d5b265ae52ba,Boyagin Wandoo Woodland,https://w3id.org/tern/resources/cd2edde0-894d-444b-9139-d5b265ae52ba,N/A,N/A,N/A,POINT(116.938571 -32.478279),-32.478280,116.938600,N/A,South West,http://linked.data.gov.au/def/tern-cv/4dd22567-d692-44e7-b29d-b80eaff829dc
TERN Ecosystem Processes,http://linked.data.gov.au/dataset/tern-ecosystem-processes,N/A,N/A,"Calperum Mallee, core1ha",http://linked.data.gov.au/dataset/ausplots/site-sasmdd0001,plot,http://linked.data.gov.au/def/tern-cv/8cadf069-01d7-4420-b454-cae37740c2a2,Calperum Mallee,https://w3id.org/tern/resources/77de3679-cdaa-4dec-b595-6e11de3c3ec0,Calperum Mallee,https://w3id.org/tern/resources/77de3679-cdaa-4dec-b595-6e11de3c3ec0,N/A,N/A,N/A,POINT(140.586951 -34.00220833),-34.002210,140.587000,N/A,Centroid,http://linked.data.gov.au/def/tern-cv/7e2e87b6-c9ec-43ac-92b0-1976fc623c0c
TERN Ecosystem Processes,http://linked.data.gov.au/dataset/tern-ecosystem-processes,N/A,N/A,"Cumberland Plain, core1ha",https://w3id.org/tern/resources/746d82a8-dd66-49d8-a7ad-5a760358e71a,plot,http://linked.data.gov.au/def/tern-cv/8cadf069-01d7-4420-b454-cae37740c2a2,Cumberland Plain,https://w3id.org/tern/resources/9c538b98-b6fd-40c9-85c7-9a6b441195b6,Cumberland Plain,https://w3id.org/tern/resources/9c538b98-b6fd-40c9-85c7-9a6b441195b6,N/A,N/A,N/A,POINT(150.7219387 -33.61563323),-33.615630,150.721900,N/A,South West,http://linked.data.gov.au/def/tern-cv/4dd22567-d692-44e7-b29d-b80eaff829dc
TERN Ecosystem Processes,http://linked.data.gov.au/dataset/tern-ecosystem-processes,N/A,N/A,"Daintree Rainforest, Cape Tribulation, core1ha",https://w3id.org/tern/resources/438e4303-582f-43b5-8b2a-5721b5a47b9b,plot,http://linked.data.gov.au/def/tern-cv/8cadf069-01d7-4420-b454-cae37740c2a2,"Daintree Rainforest, Cape Tribulation",https://w3id.org/tern/resources/d90ffc82-61fa-40ff-83cf-e0f1072f2540,"Daintree Rainforest, Cape Tribulation",https://w3id.org/tern/resources/d90ffc82-61fa-40ff-83cf-e0f1072f2540,N/A,N/A,N/A,POINT(145.3778 -16.1056),-16.105600,145.377800,N/A,South West,http://linked.data.gov.au/def/tern-cv/4dd22567-d692-44e7-b29d-b80eaff829dc
TERN Ecosystem Processes,http://linked.data.gov.au/dataset/tern-ecosystem-processes,N/A,N/A,"Daintree Rainforest, Cow Bay, core1ha",https://w3id.org/tern/resources/48396239-7335-422b-9f13-a31054306d71,plot,http://linked.data.gov.au/def/tern-cv/8cadf069-01d7-4420-b454-cae37740c2a2,"Daintree Rainforest, Cow Bay",https://w3id.org/tern/resources/60b08533-9dd6-46e0-84ba-3af7348e4ef0,"Daintree Rainforest, Cow Bay",https://w3id.org/tern/resources/60b08533-9dd6-46e0-84ba-3af7348e4ef0,N/A,N/A,N/A,POINT(145.4469 -16.1032),-16.103200,145.446900,N/A,South West,http://linked.data.gov.au/def/tern-cv/4dd22567-d692-44e7-b29d-b80eaff829dc
TERN Ecosystem Processes,http://linked.data.gov.au/dataset/tern-ecosystem-processes,N/A,N/A,"Fletcherview Tropical Rangeland, QDAEIU0008",https://w3id.org/tern/resources/6c6aeeff-8712-471c-b2bf-2fa1120a981e,plot,http://linked.data.gov.au/def/tern-cv/8cadf069-01d7-4420-b454-cae37740c2a2,Fletcherview Tropical Rangeland,https://w3id.org/tern/resources/2e15eac7-1f53-4760-a28b-f96a8dd7fa7a,Fletcherview Tropical Rangeland,https://w3id.org/tern/resources/2e15eac7-1f53-4760-a28b-f96a8dd7fa7a,N/A,N/A,N/A,POINT(146.189187 -19.887866),-19.887870,146.189200,N/A,South West,http://linked.data.gov.au/def/tern-cv/4dd22567-d692-44e7-b29d-b80eaff829dc
TERN Ecosystem Processes,http://linked.data.gov.au/dataset/tern-ecosystem-processes,N/A,N/A,"Fletcherview Tropical Rangeland, QDAEIU0009",https://w3id.org/tern/resources/c83c9917-36ea-4d9e-ae5f-4cb572edb4eb,plot,http://linked.data.gov.au/def/tern-cv/8cadf069-01d7-4420-b454-cae37740c2a2,Fletcherview Tropical Rangeland,https://w3id.org/tern/resources/2e15eac7-1f53-4760-a28b-f96a8dd7fa7a,Fletcherview Tropical Rangeland,https://w3id.org/tern/resources/2e15eac7-1f53-4760-a28b-f96a8dd7fa7a,N/A,N/A,N/A,POINT(146.187219 -19.887858),-19.887860,146.187200,N/A,South West,http://linked.data.gov.au/def/tern-cv/4dd22567-d692-44e7-b29d-b80eaff829dc
TERN Ecosystem Processes,http://linked.data.gov.au/dataset/tern-ecosystem-processes,N/A,N/A,"Fletcherview Tropical Rangeland, QDAEIU0010",https://w3id.org/tern/resources/869b9165-9e94-4914-af48-ab8e07c91e9f,plot,http://linked.data.gov.au/def/tern-cv/8cadf069-01d7-4420-b454-cae37740c2a2,Fletcherview Tropical Rangeland,https://w3id.org/tern/resources/2e15eac7-1f53-4760-a28b-f96a8dd7fa7a,Fletcherview Tropical Rangeland,https://w3id.org/tern/resources/2e15eac7-1f53-4760-a28b-f96a8dd7fa7a,N/A,N/A,N/A,POINT(146.182391 -19.893374),-19.893370,146.182400,N/A,South West,http://linked.data.gov.au/def/tern-cv/4dd22567-d692-44e7-b29d-b80eaff829dc
TERN Ecosystem Processes,http://linked.data.gov.au/dataset/tern-ecosystem-processes,N/A,N/A,"Great Western Woodlands, core1ha",http://linked.data.gov.au/dataset/ausplots/site-waacoo0020,plot,http://linked.data.gov.au/def/tern-cv/8cadf069-01d7-4420-b454-cae37740c2a2,Great Western Woodlands,https://w3id.org/tern/resources/e0bc0881-f631-409b-8013-0b9c0eab4369,Great Western Woodlands,https://w3id.org/tern/resources/e0bc0881-f631-409b-8013-0b9c0eab4369,N/A,N/A,N/A,POINT(120.655133 -30.191917),-30.191920,120.655100,N/A,South West,http://linked.data.gov.au/def/tern-cv/4dd22567-d692-44e7-b29d-b80eaff829dc
TERN Ecosystem Processes,http://linked.data.gov.au/dataset/tern-ecosystem-processes,N/A,N/A,"Great Western Woodlands, WAACOO0021",http://linked.data.gov.au/dataset/ausplots/site-waacoo0021,plot,http://linked.data.gov.au/def/tern-cv/8cadf069-01d7-4420-b454-cae37740c2a2,Great Western Woodlands,https://w3id.org/tern/resources/e0bc0881-f631-409b-8013-0b9c0eab4369,Great Western Woodlands,https://w3id.org/tern/resources/e0bc0881-f631-409b-8013-0b9c0eab4369,N/A,N/A,N/A,POINT(120.650633 -30.19235),-30.192350,120.650600,N/A,South West,http://linked.data.gov.au/def/tern-cv/4dd22567-d692-44e7-b29d-b80eaff829dc
TERN Ecosystem Processes,http://linked.data.gov.au/dataset/tern-ecosystem-processes,N/A,N/A,"Great Western Woodlands, WAACOO0022",http://linked.data.gov.au/dataset/ausplots/site-waacoo0022,plot,http://linked.data.gov.au/def/tern-cv/8cadf069-01d7-4420-b454-cae37740c2a2,Great Western Woodlands,https://w3id.org/tern/resources/e0bc0881-f631-409b-8013-0b9c0eab4369,Great Western Woodlands,https://w3id.org/tern/resources/e0bc0881-f631-409b-8013-0b9c0eab4369,N/A,N/A,N/A,POINT(120.63265 -30.1953),-30.195300,120.632600,N/A,South West,http://linked.data.gov.au/def/tern-cv/4dd22567-d692-44e7-b29d-b80eaff829dc
TERN Ecosystem Processes,http://linked.data.gov.au/dataset/tern-ecosystem-processes,N/A,N/A,"Great Western Woodlands, WAACOO0023",http://linked.data.gov.au/dataset/ausplots/site-waacoo0023,plot,http://linked.data.gov.au/def/tern-cv/8cadf069-01d7-4420-b454-cae37740c2a2,Great Western Woodlands,https://w3id.org/tern/resources/e0bc0881-f631-409b-8013-0b9c0eab4369,Great Western Woodlands,https://w3id.org/tern/resources/e0bc0881-f631-409b-8013-0b9c0eab4369,N/A,N/A,N/A,POINT(120.641467 -30.19275),-30.192750,120.641500,N/A,South West,http://linked.data.gov.au/def/tern-cv/4dd22567-d692-44e7-b29d-b80eaff829dc
TERN Ecosystem Processes,http://linked.data.gov.au/dataset/tern-ecosystem-processes,N/A,N/A,"Karawatha Peri-Urban, core1ha",https://w3id.org/tern/resources/0010cbb0-ff94-4007-8acd-0ebf495aa3ac,plot,http://linked.data.gov.au/def/tern-cv/8cadf069-01d7-4420-b454-cae37740c2a2,Karawatha Peri-Urban,https://w3id.org/tern/resources/b6a430ed-fe09-4674-ac94-15b1f4672ce4,Karawatha Peri-Urban,https://w3id.org/tern/resources/b6a430ed-fe09-4674-ac94-15b1f4672ce4,N/A,N/A,N/A,POINT(153.08807 -27.62789),-27.627890,153.088100,N/A,South West,http://linked.data.gov.au/def/tern-cv/4dd22567-d692-44e7-b29d-b80eaff829dc
TERN Ecosystem Processes,http://linked.data.gov.au/dataset/tern-ecosystem-processes,N/A,N/A,"Litchfield Savanna, core1ha",https://w3id.org/tern/resources/e8352226-d426-42b0-98f5-d43c7bde9aa7,plot,http://linked.data.gov.au/def/tern-cv/8cadf069-01d7-4420-b454-cae37740c2a2,Litchfield Savanna,https://w3id.org/tern/resources/5217cd6f-fdbf-4595-961f-249dfc840cc4,Litchfield Savanna,https://w3id.org/tern/resources/5217cd6f-fdbf-4595-961f-249dfc840cc4,N/A,N/A,N/A,POINT(130.7945 -13.179),-13.179000,130.794500,N/A,South West,http://linked.data.gov.au/def/tern-cv/4dd22567-d692-44e7-b29d-b80eaff829dc
TERN Ecosystem Processes,http://linked.data.gov.au/dataset/tern-ecosystem-processes,N/A,N/A,"Robson Creek, core1ha",https://w3id.org/tern/resources/a43b36cd-fa4f-43cd-b58b-f687ad536939,plot,http://linked.data.gov.au/def/tern-cv/8cadf069-01d7-4420-b454-cae37740c2a2,Robson Creek Rainforest,https://w3id.org/tern/resources/7006aba5-351c-45ef-9b2b-51f0453739dd,Robson Creek Rainforest,https://w3id.org/tern/resources/7006aba5-351c-45ef-9b2b-51f0453739dd,N/A,N/A,N/A,POINT(145.62994 -17.12141),-17.121410,145.629900,N/A,South West,http://linked.data.gov.au/def/tern-cv/4dd22567-d692-44e7-b29d-b80eaff829dc
TERN Ecosystem Processes,http://linked.data.gov.au/dataset/tern-ecosystem-processes,N/A,N/A,"Robson Creek, ha 10",http://linked.data.gov.au/dataset/biomass/site-robson-creek-ha10,plot,http://linked.data.gov.au/def/tern-cv/8cadf069-01d7-4420-b454-cae37740c2a2,Robson Creek Rainforest,https://w3id.org/tern/resources/7006aba5-351c-45ef-9b2b-51f0453739dd,Robson Creek Rainforest,https://w3id.org/tern/resources/7006aba5-351c-45ef-9b2b-51f0453739dd,N/A,N/A,N/A,POINT(145.6331068 -17.1212604),-17.121260,145.633100,N/A,South West,http://linked.data.gov.au/def/tern-cv/4dd22567-d692-44e7-b29d-b80eaff829dc
TERN Ecosystem Processes,http://linked.data.gov.au/dataset/tern-ecosystem-processes,N/A,N/A,"Robson Creek, ha 11",http://linked.data.gov.au/dataset/biomass/site-robson-creek-ha11,plot,http://linked.data.gov.au/def/tern-cv/8cadf069-01d7-4420-b454-cae37740c2a2,Robson Creek Rainforest,https://w3id.org/tern/resources/7006aba5-351c-45ef-9b2b-51f0453739dd,Robson Creek Rainforest,https://w3id.org/tern/resources/7006aba5-351c-45ef-9b2b-51f0453739dd,N/A,N/A,N/A,POINT(145.629959 -17.120513),-17.120510,145.630000,N/A,South West,http://linked.data.gov.au/def/tern-cv/4dd22567-d692-44e7-b29d-b80eaff829dc
TERN Ecosystem Processes,http://linked.data.gov.au/dataset/tern-ecosystem-processes,N/A,N/A,"Robson Creek, ha 12",http://linked.data.gov.au/dataset/biomass/site-robson-creek-ha12,plot,http://linked.data.gov.au/def/tern-cv/8cadf069-01d7-4420-b454-cae37740c2a2,Robson Creek Rainforest,https://w3id.org/tern/resources/7006aba5-351c-45ef-9b2b-51f0453739dd,Robson Creek Rainforest,https://w3id.org/tern/resources/7006aba5-351c-45ef-9b2b-51f0453739dd,N/A,N/A,N/A,POINT(145.6303368 -17.12047329),-17.120470,145.630300,N/A,South West,http://linked.data.gov.au/def/tern-cv/4dd22567-d692-44e7-b29d-b80eaff829dc
TERN Ecosystem Processes,http://linked.data.gov.au/dataset/tern-ecosystem-processes,N/A,N/A,"Robson Creek, ha 13",http://linked.data.gov.au/dataset/biomass/site-robson-creek-ha13,plot,http://linked.data.gov.au/def/tern-cv/8cadf069-01d7-4420-b454-cae37740c2a2,Robson Creek Rainforest,https://w3id.org/tern/resources/7006aba5-351c-45ef-9b2b-51f0453739dd,Robson Creek Rainforest,https://w3id.org/tern/resources/7006aba5-351c-45ef-9b2b-51f0453739dd,N/A,N/A,N/A,POINT(145.6323841 -17.1201982),-17.120200,145.632400,N/A,South West,http://linked.data.gov.au/def/tern-cv/4dd22567-d692-44e7-b29d-b80eaff829dc
TERN Ecosystem Processes,http://linked.data.gov.au/dataset/tern-ecosystem-processes,N/A,N/A,"Robson Creek, ha 14",http://linked.data.gov.au/dataset/biomass/site-robson-creek-ha14,plot,http://linked.data.gov.au/def/tern-cv/8cadf069-01d7-4420-b454-cae37740c2a2,Robson Creek Rainforest,https://w3id.org/tern/resources/7006aba5-351c-45ef-9b2b-51f0453739dd,Robson Creek Rainforest,https://w3id.org/tern/resources/7006aba5-351c-45ef-9b2b-51f0453739dd,N/A,N/A,N/A,POINT(145.632779 -17.120529),-17.120530,145.632800,N/A,South West,http://linked.data.gov.au/def/tern-cv/4dd22567-d692-44e7-b29d-b80eaff829dc
TERN Ecosystem Processes,http://linked.data.gov.au/dataset/tern-ecosystem-processes,N/A,N/A,"Robson Creek, ha 15",http://linked.data.gov.au/dataset/biomass/site-robson-creek-ha15,plot,http://linked.data.gov.au/def/tern-cv/8cadf069-01d7-4420-b454-cae37740c2a2,Robson Creek Rainforest,https://w3id.org/tern/resources/7006aba5-351c-45ef-9b2b-51f0453739dd,Robson Creek Rainforest,https://w3id.org/tern/resources/7006aba5-351c-45ef-9b2b-51f0453739dd,N/A,N/A,N/A,POINT(145.633717 -17.12053688),-17.120540,145.633700,N/A,South West,http://linked.data.gov.au/def/tern-cv/4dd22567-d692-44e7-b29d-b80eaff829dc
TERN Ecosystem Processes,http://linked.data.gov.au/dataset/tern-ecosystem-processes,N/A,N/A,"Robson Creek, ha 16",http://linked.data.gov.au/dataset/biomass/site-robson-creek-ha16,plot,http://linked.data.gov.au/def/tern-cv/8cadf069-01d7-4420-b454-cae37740c2a2,Robson Creek Rainforest,https://w3id.org/tern/resources/7006aba5-351c-45ef-9b2b-51f0453739dd,Robson Creek Rainforest,https://w3id.org/tern/resources/7006aba5-351c-45ef-9b2b-51f0453739dd,N/A,N/A,N/A,POINT(145.629965 -17.1196053),-17.119610,145.630000,N/A,South West,http://linked.data.gov.au/def/tern-cv/4dd22567-d692-44e7-b29d-b80eaff829dc
TERN Ecosystem Processes,http://linked.data.gov.au/dataset/tern-ecosystem-processes,N/A,N/A,"Robson Creek, ha 17",http://linked.data.gov.au/dataset/biomass/site-robson-creek-ha17,plot,http://linked.data.gov.au/def/tern-cv/8cadf069-01d7-4420-b454-cae37740c2a2,Robson Creek Rainforest,https://w3id.org/tern/resources/7006aba5-351c-45ef-9b2b-51f0453739dd,Robson Creek Rainforest,https://w3id.org/tern/resources/7006aba5-351c-45ef-9b2b-51f0453739dd,N/A,N/A,N/A,POINT(145.6309048 -17.1196132),-17.119610,145.630900,N/A,South West,http://linked.data.gov.au/def/tern-cv/4dd22567-d692-44e7-b29d-b80eaff829dc
TERN Ecosystem Processes,http://linked.data.gov.au/dataset/tern-ecosystem-processes,N/A,N/A,"Robson Creek, ha 18",http://linked.data.gov.au/dataset/biomass/site-robson-creek-ha18,plot,http://linked.data.gov.au/def/tern-cv/8cadf069-01d7-4420-b454-cae37740c2a2,Robson Creek Rainforest,https://w3id.org/tern/resources/7006aba5-351c-45ef-9b2b-51f0453739dd,Robson Creek Rainforest,https://w3id.org/tern/resources/7006aba5-351c-45ef-9b2b-51f0453739dd,N/A,N/A,N/A,POINT(145.6318439 -17.11962122),-17.119620,145.631800,N/A,South West,http://linked.data.gov.au/def/tern-cv/4dd22567-d692-44e7-b29d-b80eaff829dc
