dataset,datasetId,project,projectId,siteName,siteId,siteType,siteTypeId,parentSiteName,parentSiteId,topParentSiteName,topParentSiteId,dateCommissioned,description,polygonWkt,pointWkt,latitude,longitude,altitude,pointPositionWithinPlot,pointPositionWithinPlotId
TERN Ecosystem Processes,http://linked.data.gov.au/dataset/tern-ecosystem-processes,N/A,N/A,"Robson Creek, ha 19",http://linked.data.gov.au/dataset/biomass/site-robson-creek-ha19,plot,http://linked.data.gov.au/def/tern-cv/8cadf069-01d7-4420-b454-cae37740c2a2,Robson Creek Rainforest,https://w3id.org/tern/resources/7006aba5-351c-45ef-9b2b-51f0453739dd,Robson Creek Rainforest,https://w3id.org/tern/resources/7006aba5-351c-45ef-9b2b-51f0453739dd,N/A,N/A,N/A,POINT(145.6327859 -17.1196282),-17.119630,145.632800,N/A,South West,http://linked.data.gov.au/def/tern-cv/4dd22567-d692-44e7-b29d-b80eaff829dc
TERN Ecosystem Processes,http://linked.data.gov.au/dataset/tern-ecosystem-processes,N/A,N/A,"Robson Creek, ha 1",http://linked.data.gov.au/dataset/biomass/site-robson-creek-ha1,plot,http://linked.data.gov.au/def/tern-cv/8cadf069-01d7-4420-b454-cae37740c2a2,Robson Creek Rainforest,https://w3id.org/tern/resources/7006aba5-351c-45ef-9b2b-51f0453739dd,Robson Creek Rainforest,https://w3id.org/tern/resources/7006aba5-351c-45ef-9b2b-51f0453739dd,N/A,N/A,N/A,POINT(145.629947 -17.122324),-17.122320,145.629900,N/A,South West,http://linked.data.gov.au/def/tern-cv/4dd22567-d692-44e7-b29d-b80eaff829dc
TERN Ecosystem Processes,http://linked.data.gov.au/dataset/tern-ecosystem-processes,N/A,N/A,"Robson Creek, ha 20",http://linked.data.gov.au/dataset/biomass/site-robson-creek-ha20,plot,http://linked.data.gov.au/def/tern-cv/8cadf069-01d7-4420-b454-cae37740c2a2,Robson Creek Rainforest,https://w3id.org/tern/resources/7006aba5-351c-45ef-9b2b-51f0453739dd,Robson Creek Rainforest,https://w3id.org/tern/resources/7006aba5-351c-45ef-9b2b-51f0453739dd,N/A,N/A,N/A,POINT(145.6337241 -17.1196325),-17.119630,145.633700,N/A,South West,http://linked.data.gov.au/def/tern-cv/4dd22567-d692-44e7-b29d-b80eaff829dc
TERN Ecosystem Processes,http://linked.data.gov.au/dataset/tern-ecosystem-processes,N/A,N/A,"Robson Creek, ha 21",http://linked.data.gov.au/dataset/biomass/site-robson-creek-ha21,plot,http://linked.data.gov.au/def/tern-cv/8cadf069-01d7-4420-b454-cae37740c2a2,Robson Creek Rainforest,https://w3id.org/tern/resources/7006aba5-351c-45ef-9b2b-51f0453739dd,Robson Creek Rainforest,https://w3id.org/tern/resources/7006aba5-351c-45ef-9b2b-51f0453739dd,N/A,N/A,N/A,POINT(145.6299722 -17.11871145),-17.118710,145.630000,N/A,South West,http://linked.data.gov.au/def/tern-cv/4dd22567-d692-44e7-b29d-b80eaff829dc
TERN Ecosystem Processes,http://linked.data.gov.au/dataset/tern-ecosystem-processes,N/A,N/A,"Robson Creek, ha 22",http://linked.data.gov.au/dataset/biomass/site-robson-creek-ha22,plot,http://linked.data.gov.au/def/tern-cv/8cadf069-01d7-4420-b454-cae37740c2a2,Robson Creek Rainforest,https://w3id.org/tern/resources/7006aba5-351c-45ef-9b2b-51f0453739dd,Robson Creek Rainforest,https://w3id.org/tern/resources/7006aba5-351c-45ef-9b2b-51f0453739dd,N/A,N/A,N/A,POINT(145.6309109 -17.11871386),-17.118710,145.630900,N/A,South West,http://linked.data.gov.au/def/tern-cv/4dd22567-d692-44e7-b29d-b80eaff829dc
TERN Ecosystem Processes,http://linked.data.gov.au/dataset/tern-ecosystem-processes,N/A,N/A,"Robson Creek, ha 23",http://linked.data.gov.au/dataset/biomass/site-robson-creek-ha23,plot,http://linked.data.gov.au/def/tern-cv/8cadf069-01d7-4420-b454-cae37740c2a2,Robson Creek Rainforest,https://w3id.org/tern/resources/7006aba5-351c-45ef-9b2b-51f0453739dd,Robson Creek Rainforest,https://w3id.org/tern/resources/7006aba5-351c-45ef-9b2b-51f0453739dd,N/A,N/A,N/A,POINT(145.6318519 -17.11871957),-17.118720,145.631900,N/A,South West,http://linked.data.gov.au/def/tern-cv/4dd22567-d692-44e7-b29d-b80eaff829dc
TERN Ecosystem Processes,http://linked.data.gov.au/dataset/tern-ecosystem-processes,N/A,N/A,"Robson Creek, ha 24",http://linked.data.gov.au/dataset/biomass/site-robson-creek-ha24,plot,http://linked.data.gov.au/def/tern-cv/8cadf069-01d7-4420-b454-cae37740c2a2,Robson Creek Rainforest,https://w3id.org/tern/resources/7006aba5-351c-45ef-9b2b-51f0453739dd,Robson Creek Rainforest,https://w3id.org/tern/resources/7006aba5-351c-45ef-9b2b-51f0453739dd,N/A,N/A,N/A,POINT(145.6327951 -17.11872468),-17.118720,145.632800,N/A,South West,http://linked.data.gov.au/def/tern-cv/4dd22567-d692-44e7-b29d-b80eaff829dc
TERN Ecosystem Processes,http://linked.data.gov.au/dataset/tern-ecosystem-processes,N/A,N/A,"Robson Creek, ha 25",http://linked.data.gov.au/dataset/biomass/site-robson-creek-ha25,plot,http://linked.data.gov.au/def/tern-cv/8cadf069-01d7-4420-b454-cae37740c2a2,Robson Creek Rainforest,https://w3id.org/tern/resources/7006aba5-351c-45ef-9b2b-51f0453739dd,Robson Creek Rainforest,https://w3id.org/tern/resources/7006aba5-351c-45ef-9b2b-51f0453739dd,N/A,N/A,N/A,POINT(145.6337341 -17.11872987),-17.118730,145.633700,N/A,South West,http://linked.data.gov.au/def/tern-cv/4dd22567-d692-44e7-b29d-b80eaff829dc
TERN Ecosystem Processes,http://linked.data.gov.au/dataset/tern-ecosystem-processes,N/A,N/A,"Robson Creek, ha 2",http://linked.data.gov.au/dataset/biomass/site-robson-creek-ha2,plot,http://linked.data.gov.au/def/tern-cv/8cadf069-01d7-4420-b454-cae37740c2a2,Robson Creek Rainforest,https://w3id.org/tern/resources/7006aba5-351c-45ef-9b2b-51f0453739dd,Robson Creek Rainforest,https://w3id.org/tern/resources/7006aba5-351c-45ef-9b2b-51f0453739dd,N/A,N/A,N/A,POINT(145.630886 -17.122329),-17.122330,145.630900,N/A,South West,http://linked.data.gov.au/def/tern-cv/4dd22567-d692-44e7-b29d-b80eaff829dc
TERN Ecosystem Processes,http://linked.data.gov.au/dataset/tern-ecosystem-processes,N/A,N/A,"Robson Creek, ha 3",http://linked.data.gov.au/dataset/biomass/site-robson-creek-ha3,plot,http://linked.data.gov.au/def/tern-cv/8cadf069-01d7-4420-b454-cae37740c2a2,Robson Creek Rainforest,https://w3id.org/tern/resources/7006aba5-351c-45ef-9b2b-51f0453739dd,Robson Creek Rainforest,https://w3id.org/tern/resources/7006aba5-351c-45ef-9b2b-51f0453739dd,N/A,N/A,N/A,POINT(145.631827 -17.122332),-17.122330,145.631800,N/A,South West,http://linked.data.gov.au/def/tern-cv/4dd22567-d692-44e7-b29d-b80eaff829dc
TERN Ecosystem Processes,http://linked.data.gov.au/dataset/tern-ecosystem-processes,N/A,N/A,"Robson Creek, ha 4",http://linked.data.gov.au/dataset/biomass/site-robson-creek-ha4,plot,http://linked.data.gov.au/def/tern-cv/8cadf069-01d7-4420-b454-cae37740c2a2,Robson Creek Rainforest,https://w3id.org/tern/resources/7006aba5-351c-45ef-9b2b-51f0453739dd,Robson Creek Rainforest,https://w3id.org/tern/resources/7006aba5-351c-45ef-9b2b-51f0453739dd,N/A,N/A,N/A,POINT(145.632939 -17.121992),-17.121990,145.632900,N/A,South West,http://linked.data.gov.au/def/tern-cv/4dd22567-d692-44e7-b29d-b80eaff829dc
TERN Ecosystem Processes,http://linked.data.gov.au/dataset/tern-ecosystem-processes,N/A,N/A,"Robson Creek, ha 5",http://linked.data.gov.au/dataset/biomass/site-robson-creek-ha5,plot,http://linked.data.gov.au/def/tern-cv/8cadf069-01d7-4420-b454-cae37740c2a2,Robson Creek Rainforest,https://w3id.org/tern/resources/7006aba5-351c-45ef-9b2b-51f0453739dd,Robson Creek Rainforest,https://w3id.org/tern/resources/7006aba5-351c-45ef-9b2b-51f0453739dd,N/A,N/A,N/A,POINT(145.6335039 -17.12206619),-17.122070,145.633500,N/A,South West,http://linked.data.gov.au/def/tern-cv/4dd22567-d692-44e7-b29d-b80eaff829dc
TERN Ecosystem Processes,http://linked.data.gov.au/dataset/tern-ecosystem-processes,N/A,N/A,"Robson Creek, ha 7",http://linked.data.gov.au/dataset/biomass/site-robson-creek-ha7,plot,http://linked.data.gov.au/def/tern-cv/8cadf069-01d7-4420-b454-cae37740c2a2,Robson Creek Rainforest,https://w3id.org/tern/resources/7006aba5-351c-45ef-9b2b-51f0453739dd,Robson Creek Rainforest,https://w3id.org/tern/resources/7006aba5-351c-45ef-9b2b-51f0453739dd,N/A,N/A,N/A,POINT(145.631305 -17.12141708),-17.121420,145.631300,N/A,South West,http://linked.data.gov.au/def/tern-cv/4dd22567-d692-44e7-b29d-b80eaff829dc
TERN Ecosystem Processes,http://linked.data.gov.au/dataset/tern-ecosystem-processes,N/A,N/A,"Robson Creek, ha 8",http://linked.data.gov.au/dataset/biomass/site-robson-creek-ha8,plot,http://linked.data.gov.au/def/tern-cv/8cadf069-01d7-4420-b454-cae37740c2a2,Robson Creek Rainforest,https://w3id.org/tern/resources/7006aba5-351c-45ef-9b2b-51f0453739dd,Robson Creek Rainforest,https://w3id.org/tern/resources/7006aba5-351c-45ef-9b2b-51f0453739dd,N/A,N/A,N/A,POINT(145.631833 -17.121428),-17.121430,145.631800,N/A,South West,http://linked.data.gov.au/def/tern-cv/4dd22567-d692-44e7-b29d-b80eaff829dc
TERN Ecosystem Processes,http://linked.data.gov.au/dataset/tern-ecosystem-processes,N/A,N/A,"Robson Creek, ha 9",http://linked.data.gov.au/dataset/biomass/site-robson-creek-ha9,plot,http://linked.data.gov.au/def/tern-cv/8cadf069-01d7-4420-b454-cae37740c2a2,Robson Creek Rainforest,https://w3id.org/tern/resources/7006aba5-351c-45ef-9b2b-51f0453739dd,Robson Creek Rainforest,https://w3id.org/tern/resources/7006aba5-351c-45ef-9b2b-51f0453739dd,N/A,N/A,N/A,POINT(145.6325389 -17.1212652),-17.121270,145.632500,N/A,South West,http://linked.data.gov.au/def/tern-cv/4dd22567-d692-44e7-b29d-b80eaff829dc
TERN Ecosystem Processes,http://linked.data.gov.au/dataset/tern-ecosystem-processes,N/A,N/A,"Samford Peri-urban, core1ha",https://w3id.org/tern/resources/5febb758-e33e-43dd-985e-11802fd7ab42,plot,http://linked.data.gov.au/def/tern-cv/8cadf069-01d7-4420-b454-cae37740c2a2,Samford Peri-urban,https://w3id.org/tern/resources/a05a51c0-2daa-4369-aa2b-08c3638efa7a,Samford Peri-urban,https://w3id.org/tern/resources/a05a51c0-2daa-4369-aa2b-08c3638efa7a,N/A,N/A,N/A,POINT(152.8801 -27.389),-27.389000,152.880100,N/A,South West,http://linked.data.gov.au/def/tern-cv/4dd22567-d692-44e7-b29d-b80eaff829dc
TERN Ecosystem Processes,http://linked.data.gov.au/dataset/tern-ecosystem-processes,N/A,N/A,"Tumbarumba Wet Eucalypt, core1ha",https://w3id.org/tern/resources/2004f314-b7b0-41ae-961d-3512951da18d,plot,http://linked.data.gov.au/def/tern-cv/8cadf069-01d7-4420-b454-cae37740c2a2,Tumbarumba Wet Eucalypt,https://w3id.org/tern/resources/b7c1aa7f-4032-4f4b-8046-2496ac708566,Tumbarumba Wet Eucalypt,https://w3id.org/tern/resources/b7c1aa7f-4032-4f4b-8046-2496ac708566,N/A,N/A,N/A,POINT(148.151181 -35.656358),-35.656360,148.151200,N/A,South West,http://linked.data.gov.au/def/tern-cv/4dd22567-d692-44e7-b29d-b80eaff829dc
TERN Ecosystem Processes,http://linked.data.gov.au/dataset/tern-ecosystem-processes,N/A,N/A,"Wambiana Grazing Trial, QDADEU0001",https://w3id.org/tern/resources/5297f01f-40fb-4192-aeab-a4b15f07d35e,plot,http://linked.data.gov.au/def/tern-cv/8cadf069-01d7-4420-b454-cae37740c2a2,Wambiana Grazing Trial,https://w3id.org/tern/resources/130e022b-b726-4f8d-805c-8f2e19f92664,Wambiana Grazing Trial,https://w3id.org/tern/resources/130e022b-b726-4f8d-805c-8f2e19f92664,N/A,N/A,N/A,POINT(146.129 -20.54622),-20.546220,146.129000,N/A,South West,http://linked.data.gov.au/def/tern-cv/4dd22567-d692-44e7-b29d-b80eaff829dc
TERN Ecosystem Processes,http://linked.data.gov.au/dataset/tern-ecosystem-processes,N/A,N/A,"Wambiana Grazing Trial, QDADEU0002",https://w3id.org/tern/resources/3aa63e33-91cd-41c3-be7e-94030cd25b1f,plot,http://linked.data.gov.au/def/tern-cv/8cadf069-01d7-4420-b454-cae37740c2a2,Wambiana Grazing Trial,https://w3id.org/tern/resources/130e022b-b726-4f8d-805c-8f2e19f92664,Wambiana Grazing Trial,https://w3id.org/tern/resources/130e022b-b726-4f8d-805c-8f2e19f92664,N/A,N/A,N/A,POINT(146.1272 -20.54572),-20.545720,146.127200,N/A,South West,http://linked.data.gov.au/def/tern-cv/4dd22567-d692-44e7-b29d-b80eaff829dc
TERN Ecosystem Processes,http://linked.data.gov.au/dataset/tern-ecosystem-processes,N/A,N/A,"Wambiana Grazing Trial, QDADEU0003",https://w3id.org/tern/resources/0925597c-826f-4940-8da9-ce51be0b571b,plot,http://linked.data.gov.au/def/tern-cv/8cadf069-01d7-4420-b454-cae37740c2a2,Wambiana Grazing Trial,https://w3id.org/tern/resources/130e022b-b726-4f8d-805c-8f2e19f92664,Wambiana Grazing Trial,https://w3id.org/tern/resources/130e022b-b726-4f8d-805c-8f2e19f92664,N/A,N/A,N/A,POINT(146.1358 -20.53182),-20.531820,146.135800,N/A,South West,http://linked.data.gov.au/def/tern-cv/4dd22567-d692-44e7-b29d-b80eaff829dc
TERN Ecosystem Processes,http://linked.data.gov.au/dataset/tern-ecosystem-processes,N/A,N/A,"Wambiana Grazing Trial, QDADEU0004",https://w3id.org/tern/resources/55363f7a-01f5-4345-8180-f21c42739163,plot,http://linked.data.gov.au/def/tern-cv/8cadf069-01d7-4420-b454-cae37740c2a2,Wambiana Grazing Trial,https://w3id.org/tern/resources/130e022b-b726-4f8d-805c-8f2e19f92664,Wambiana Grazing Trial,https://w3id.org/tern/resources/130e022b-b726-4f8d-805c-8f2e19f92664,N/A,N/A,N/A,POINT(146.1365 -20.53535),-20.535350,146.136500,N/A,South West,http://linked.data.gov.au/def/tern-cv/4dd22567-d692-44e7-b29d-b80eaff829dc
TERN Ecosystem Processes,http://linked.data.gov.au/dataset/tern-ecosystem-processes,N/A,N/A,"Wambiana Grazing Trial, QDADEU0005",https://w3id.org/tern/resources/aeefdac9-ee91-4ff4-b70e-d39070884ffb,plot,http://linked.data.gov.au/def/tern-cv/8cadf069-01d7-4420-b454-cae37740c2a2,Wambiana Grazing Trial,https://w3id.org/tern/resources/130e022b-b726-4f8d-805c-8f2e19f92664,Wambiana Grazing Trial,https://w3id.org/tern/resources/130e022b-b726-4f8d-805c-8f2e19f92664,N/A,N/A,N/A,POINT(146.1356 -20.54874),-20.548740,146.135600,N/A,South West,http://linked.data.gov.au/def/tern-cv/4dd22567-d692-44e7-b29d-b80eaff829dc
TERN Ecosystem Processes,http://linked.data.gov.au/dataset/tern-ecosystem-processes,N/A,N/A,"Wambiana Grazing Trial, QDADEU0006",https://w3id.org/tern/resources/f5180f0c-ae03-42fe-bfd4-d7a4cc347559,plot,http://linked.data.gov.au/def/tern-cv/8cadf069-01d7-4420-b454-cae37740c2a2,Wambiana Grazing Trial,https://w3id.org/tern/resources/130e022b-b726-4f8d-805c-8f2e19f92664,Wambiana Grazing Trial,https://w3id.org/tern/resources/130e022b-b726-4f8d-805c-8f2e19f92664,N/A,N/A,N/A,POINT(146.137 -20.54982),-20.549820,146.137000,N/A,South West,http://linked.data.gov.au/def/tern-cv/4dd22567-d692-44e7-b29d-b80eaff829dc
TERN Ecosystem Processes,http://linked.data.gov.au/dataset/tern-ecosystem-processes,N/A,N/A,"Warra Tall Eucalypt, core1ha",http://linked.data.gov.au/dataset/ausplots/site-tcftsr002,plot,http://linked.data.gov.au/def/tern-cv/8cadf069-01d7-4420-b454-cae37740c2a2,Warra Tall Eucalypt,https://w3id.org/tern/resources/aadb6250-8b19-4320-9a71-e6807941188d,Warra Tall Eucalypt,https://w3id.org/tern/resources/aadb6250-8b19-4320-9a71-e6807941188d,N/A,N/A,N/A,POINT(146.653414 -43.095939),-43.095940,146.653400,N/A,South West,http://linked.data.gov.au/def/tern-cv/4dd22567-d692-44e7-b29d-b80eaff829dc
TERN Ecosystem Processes,http://linked.data.gov.au/dataset/tern-ecosystem-processes,N/A,N/A,"Whroo Dry Eucalypt, core1ha",https://w3id.org/tern/resources/8f2bd9f0-8fcf-4b1e-b98e-17b59f702349,plot,http://linked.data.gov.au/def/tern-cv/8cadf069-01d7-4420-b454-cae37740c2a2,Whroo Dry Eucalypt,https://w3id.org/tern/resources/180049df-a3c3-4d2f-8480-e940c06cb6ac,Whroo Dry Eucalypt,https://w3id.org/tern/resources/180049df-a3c3-4d2f-8480-e940c06cb6ac,N/A,N/A,N/A,POINT(145.02804 -36.67385),-36.673850,145.028000,N/A,South West,http://linked.data.gov.au/def/tern-cv/4dd22567-d692-44e7-b29d-b80eaff829dc
TERN Ecosystem Processes,http://linked.data.gov.au/dataset/tern-ecosystem-processes,N/A,N/A,"Wombat Stringybark Eucalypt, core1ha",https://w3id.org/tern/resources/7cfc368f-1571-4b67-8c8d-915e93a9d388,plot,http://linked.data.gov.au/def/tern-cv/8cadf069-01d7-4420-b454-cae37740c2a2,Wombat Stringybark Eucalypt,https://w3id.org/tern/resources/df3708eb-bb23-4ef3-ac02-4735f78a6f34,Wombat Stringybark Eucalypt,https://w3id.org/tern/resources/df3708eb-bb23-4ef3-ac02-4735f78a6f34,N/A,N/A,N/A,POINT(144.0933 -37.4211),-37.421100,144.093300,N/A,South West,http://linked.data.gov.au/def/tern-cv/4dd22567-d692-44e7-b29d-b80eaff829dc
