attributeId,siteVisitName,siteVisitId,attributeName,attributeConceptId,value,valueId,valueUnit,valueUnitId
http://linked.data.gov.au/dataset/tern-ecosystem-processes/ant_survey-attr-samplingduration-alice_mulga__core1ha_20141127,20141127,http://linked.data.gov.au/dataset/tern-ecosystem-processes/sv-alice_mulga__core1ha_20141127,sampling duration,http://linked.data.gov.au/def/tern-cv/20d4e292-adc1-4585-8f81-c2a0e92eacab,3,N/A,Day,http://qudt.org/vocab/unit/DAY
http://linked.data.gov.au/dataset/tern-ecosystem-processes/ant_survey-attr-samplingduration-alice_mulga__core1ha_20150601,20150601,http://linked.data.gov.au/dataset/tern-ecosystem-processes/sv-alice_mulga__core1ha_20150601,sampling duration,http://linked.data.gov.au/def/tern-cv/20d4e292-adc1-4585-8f81-c2a0e92eacab,3,N/A,Day,http://qudt.org/vocab/unit/DAY
http://linked.data.gov.au/dataset/tern-ecosystem-processes/ant_survey-attr-samplingduration-calperum_mallee__core1ha_20141201,20141201,http://linked.data.gov.au/dataset/tern-ecosystem-processes/sv-calperum_mallee__core1ha_20141201,sampling duration,http://linked.data.gov.au/def/tern-cv/20d4e292-adc1-4585-8f81-c2a0e92eacab,3,N/A,Day,http://qudt.org/vocab/unit/DAY
http://linked.data.gov.au/dataset/tern-ecosystem-processes/ant_survey-attr-samplingduration-calperum_mallee__core1ha_20150512,20150512,http://linked.data.gov.au/dataset/tern-ecosystem-processes/sv-calperum_mallee__core1ha_20150512,sampling duration,http://linked.data.gov.au/def/tern-cv/20d4e292-adc1-4585-8f81-c2a0e92eacab,3,N/A,Day,http://qudt.org/vocab/unit/DAY
http://linked.data.gov.au/dataset/tern-ecosystem-processes/ant_survey-attr-samplingduration-calperum_mallee__core1ha_20160401,20160401,http://linked.data.gov.au/dataset/tern-ecosystem-processes/sv-calperum_mallee__core1ha_20160401,sampling duration,http://linked.data.gov.au/def/tern-cv/20d4e292-adc1-4585-8f81-c2a0e92eacab,3,N/A,Day,http://qudt.org/vocab/unit/DAY
http://linked.data.gov.au/dataset/tern-ecosystem-processes/ant_survey-attr-samplingduration-cumberland_plain__core1ha_20150430,20150430,http://linked.data.gov.au/dataset/tern-ecosystem-processes/sv-cumberland_plain__core1ha_20150430,sampling duration,http://linked.data.gov.au/def/tern-cv/20d4e292-adc1-4585-8f81-c2a0e92eacab,3,N/A,Day,http://qudt.org/vocab/unit/DAY
http://linked.data.gov.au/dataset/tern-ecosystem-processes/ant_survey-attr-samplingduration-cumberland_plain__core1ha_20150504,20150504,http://linked.data.gov.au/dataset/tern-ecosystem-processes/sv-cumberland_plain__core1ha_20150504,sampling duration,http://linked.data.gov.au/def/tern-cv/20d4e292-adc1-4585-8f81-c2a0e92eacab,3,N/A,Day,http://qudt.org/vocab/unit/DAY
http://linked.data.gov.au/dataset/tern-ecosystem-processes/ant_survey-attr-samplingduration-cumberland_plain__core1ha_20151127,20151127,http://linked.data.gov.au/dataset/tern-ecosystem-processes/sv-cumberland_plain__core1ha_20151127,sampling duration,http://linked.data.gov.au/def/tern-cv/20d4e292-adc1-4585-8f81-c2a0e92eacab,3,N/A,Day,http://qudt.org/vocab/unit/DAY
http://linked.data.gov.au/dataset/tern-ecosystem-processes/ant_survey-attr-samplingduration-daintree_rainforest__cape_tribulation__core1ha_20141027,20141027,http://linked.data.gov.au/dataset/tern-ecosystem-processes/sv-daintree_rainforest__cape_tribulation__core1ha_20141027,sampling duration,http://linked.data.gov.au/def/tern-cv/20d4e292-adc1-4585-8f81-c2a0e92eacab,3,N/A,Day,http://qudt.org/vocab/unit/DAY
http://linked.data.gov.au/dataset/tern-ecosystem-processes/ant_survey-attr-samplingduration-daintree_rainforest__cape_tribulation__core1ha_20150414,20150414,http://linked.data.gov.au/dataset/tern-ecosystem-processes/sv-daintree_rainforest__cape_tribulation__core1ha_20150414,sampling duration,http://linked.data.gov.au/def/tern-cv/20d4e292-adc1-4585-8f81-c2a0e92eacab,3,N/A,Day,http://qudt.org/vocab/unit/DAY
http://linked.data.gov.au/dataset/tern-ecosystem-processes/ant_survey-attr-samplingduration-fletcherview_tropical_rangeland__qdaeiu0008_20211020,20211020,http://linked.data.gov.au/dataset/tern-ecosystem-processes/sv-fletcherview_tropical_rangeland__qdaeiu0008_20211020,sampling duration,http://linked.data.gov.au/def/tern-cv/20d4e292-adc1-4585-8f81-c2a0e92eacab,2,N/A,Day,http://qudt.org/vocab/unit/DAY
http://linked.data.gov.au/dataset/tern-ecosystem-processes/ant_survey-attr-samplingduration-fletcherview_tropical_rangeland__qdaeiu0009_20211020,20211020,http://linked.data.gov.au/dataset/tern-ecosystem-processes/sv-fletcherview_tropical_rangeland__qdaeiu0009_20211020,sampling duration,http://linked.data.gov.au/def/tern-cv/20d4e292-adc1-4585-8f81-c2a0e92eacab,2,N/A,Day,http://qudt.org/vocab/unit/DAY
http://linked.data.gov.au/dataset/tern-ecosystem-processes/ant_survey-attr-samplingduration-fletcherview_tropical_rangeland__qdaeiu0010_20211020,20211020,http://linked.data.gov.au/dataset/tern-ecosystem-processes/sv-fletcherview_tropical_rangeland__qdaeiu0010_20211020,sampling duration,http://linked.data.gov.au/def/tern-cv/20d4e292-adc1-4585-8f81-c2a0e92eacab,2,N/A,Day,http://qudt.org/vocab/unit/DAY
http://linked.data.gov.au/dataset/tern-ecosystem-processes/ant_survey-attr-samplingduration-great_western_woodlands__core1ha_20141101,20141101,http://linked.data.gov.au/dataset/tern-ecosystem-processes/sv-great_western_woodlands__core1ha_20141101,sampling duration,http://linked.data.gov.au/def/tern-cv/20d4e292-adc1-4585-8f81-c2a0e92eacab,3,N/A,Day,http://qudt.org/vocab/unit/DAY
http://linked.data.gov.au/dataset/tern-ecosystem-processes/ant_survey-attr-samplingduration-great_western_woodlands__core1ha_20150301,20150301,http://linked.data.gov.au/dataset/tern-ecosystem-processes/sv-great_western_woodlands__core1ha_20150301,sampling duration,http://linked.data.gov.au/def/tern-cv/20d4e292-adc1-4585-8f81-c2a0e92eacab,3,N/A,Day,http://qudt.org/vocab/unit/DAY
http://linked.data.gov.au/dataset/tern-ecosystem-processes/ant_survey-attr-samplingduration-karawatha_peri-urban__core1ha_20141015,20141015,http://linked.data.gov.au/dataset/tern-ecosystem-processes/sv-karawatha_peri-urban__core1ha_20141015,sampling duration,http://linked.data.gov.au/def/tern-cv/20d4e292-adc1-4585-8f81-c2a0e92eacab,3,N/A,Day,http://qudt.org/vocab/unit/DAY
http://linked.data.gov.au/dataset/tern-ecosystem-processes/ant_survey-attr-samplingduration-karawatha_peri-urban__core1ha_20150518,20150518,http://linked.data.gov.au/dataset/tern-ecosystem-processes/sv-karawatha_peri-urban__core1ha_20150518,sampling duration,http://linked.data.gov.au/def/tern-cv/20d4e292-adc1-4585-8f81-c2a0e92eacab,3,N/A,Day,http://qudt.org/vocab/unit/DAY
http://linked.data.gov.au/dataset/tern-ecosystem-processes/ant_survey-attr-samplingduration-litchfield_savanna__core1ha_20150706,20150706,http://linked.data.gov.au/dataset/tern-ecosystem-processes/sv-litchfield_savanna__core1ha_20150706,sampling duration,http://linked.data.gov.au/def/tern-cv/20d4e292-adc1-4585-8f81-c2a0e92eacab,3,N/A,Day,http://qudt.org/vocab/unit/DAY
http://linked.data.gov.au/dataset/tern-ecosystem-processes/ant_survey-attr-samplingduration-robson_creek__core1ha_20141016,20141016,http://linked.data.gov.au/dataset/tern-ecosystem-processes/sv-robson_creek__core1ha_20141016,sampling duration,http://linked.data.gov.au/def/tern-cv/20d4e292-adc1-4585-8f81-c2a0e92eacab,3,N/A,Day,http://qudt.org/vocab/unit/DAY
http://linked.data.gov.au/dataset/tern-ecosystem-processes/ant_survey-attr-samplingduration-robson_creek__core1ha_20150409,20150409,http://linked.data.gov.au/dataset/tern-ecosystem-processes/sv-robson_creek__core1ha_20150409,sampling duration,http://linked.data.gov.au/def/tern-cv/20d4e292-adc1-4585-8f81-c2a0e92eacab,3,N/A,Day,http://qudt.org/vocab/unit/DAY
http://linked.data.gov.au/dataset/tern-ecosystem-processes/ant_survey-attr-samplingduration-samford_peri-urban__core1ha_20140401,20140401,http://linked.data.gov.au/dataset/tern-ecosystem-processes/sv-samford_peri-urban__core1ha_20140401,sampling duration,http://linked.data.gov.au/def/tern-cv/20d4e292-adc1-4585-8f81-c2a0e92eacab,3,N/A,Day,http://qudt.org/vocab/unit/DAY
http://linked.data.gov.au/dataset/tern-ecosystem-processes/ant_survey-attr-samplingduration-samford_peri-urban__core1ha_20150401,20150401,http://linked.data.gov.au/dataset/tern-ecosystem-processes/sv-samford_peri-urban__core1ha_20150401,sampling duration,http://linked.data.gov.au/def/tern-cv/20d4e292-adc1-4585-8f81-c2a0e92eacab,3,N/A,Day,http://qudt.org/vocab/unit/DAY
http://linked.data.gov.au/dataset/tern-ecosystem-processes/ant_survey-attr-samplingduration-samford_peri-urban__core1ha_20151001,20151001,http://linked.data.gov.au/dataset/tern-ecosystem-processes/sv-samford_peri-urban__core1ha_20151001,sampling duration,http://linked.data.gov.au/def/tern-cv/20d4e292-adc1-4585-8f81-c2a0e92eacab,3,N/A,Day,http://qudt.org/vocab/unit/DAY
http://linked.data.gov.au/dataset/tern-ecosystem-processes/ant_survey-attr-samplingduration-samford_peri-urban__core1ha_20160401,20160401,http://linked.data.gov.au/dataset/tern-ecosystem-processes/sv-samford_peri-urban__core1ha_20160401,sampling duration,http://linked.data.gov.au/def/tern-cv/20d4e292-adc1-4585-8f81-c2a0e92eacab,3,N/A,Day,http://qudt.org/vocab/unit/DAY
http://linked.data.gov.au/dataset/tern-ecosystem-processes/ant_survey-attr-samplingduration-samford_peri-urban__core1ha_20161101,20161101,http://linked.data.gov.au/dataset/tern-ecosystem-processes/sv-samford_peri-urban__core1ha_20161101,sampling duration,http://linked.data.gov.au/def/tern-cv/20d4e292-adc1-4585-8f81-c2a0e92eacab,3,N/A,Day,http://qudt.org/vocab/unit/DAY
http://linked.data.gov.au/dataset/tern-ecosystem-processes/ant_survey-attr-samplingduration-samford_peri-urban__core1ha_20170501,20170501,http://linked.data.gov.au/dataset/tern-ecosystem-processes/sv-samford_peri-urban__core1ha_20170501,sampling duration,http://linked.data.gov.au/def/tern-cv/20d4e292-adc1-4585-8f81-c2a0e92eacab,3,N/A,Day,http://qudt.org/vocab/unit/DAY
http://linked.data.gov.au/dataset/tern-ecosystem-processes/ant_survey-attr-samplingduration-tumbarumba_wet_eucalypt__core1ha_20150101,20150101,http://linked.data.gov.au/dataset/tern-ecosystem-processes/sv-tumbarumba_wet_eucalypt__core1ha_20150101,sampling duration,http://linked.data.gov.au/def/tern-cv/20d4e292-adc1-4585-8f81-c2a0e92eacab,3,N/A,Day,http://qudt.org/vocab/unit/DAY
http://linked.data.gov.au/dataset/tern-ecosystem-processes/ant_survey-attr-samplingduration-tumbarumba_wet_eucalypt__core1ha_20150401,20150401,http://linked.data.gov.au/dataset/tern-ecosystem-processes/sv-tumbarumba_wet_eucalypt__core1ha_20150401,sampling duration,http://linked.data.gov.au/def/tern-cv/20d4e292-adc1-4585-8f81-c2a0e92eacab,3,N/A,Day,http://qudt.org/vocab/unit/DAY
http://linked.data.gov.au/dataset/tern-ecosystem-processes/ant_survey-attr-samplingduration-wambiana_grazing_trial__qdadeu0001_20211021,20211021,http://linked.data.gov.au/dataset/tern-ecosystem-processes/sv-wambiana_grazing_trial__qdadeu0001_20211021,sampling duration,http://linked.data.gov.au/def/tern-cv/20d4e292-adc1-4585-8f81-c2a0e92eacab,2,N/A,Day,http://qudt.org/vocab/unit/DAY
http://linked.data.gov.au/dataset/tern-ecosystem-processes/ant_survey-attr-samplingduration-wambiana_grazing_trial__qdadeu0002_20211021,20211021,http://linked.data.gov.au/dataset/tern-ecosystem-processes/sv-wambiana_grazing_trial__qdadeu0002_20211021,sampling duration,http://linked.data.gov.au/def/tern-cv/20d4e292-adc1-4585-8f81-c2a0e92eacab,2,N/A,Day,http://qudt.org/vocab/unit/DAY
http://linked.data.gov.au/dataset/tern-ecosystem-processes/ant_survey-attr-samplingduration-wambiana_grazing_trial__qdadeu0003_20211021,20211021,http://linked.data.gov.au/dataset/tern-ecosystem-processes/sv-wambiana_grazing_trial__qdadeu0003_20211021,sampling duration,http://linked.data.gov.au/def/tern-cv/20d4e292-adc1-4585-8f81-c2a0e92eacab,2,N/A,Day,http://qudt.org/vocab/unit/DAY
http://linked.data.gov.au/dataset/tern-ecosystem-processes/ant_survey-attr-samplingduration-wambiana_grazing_trial__qdadeu0004_20211021,20211021,http://linked.data.gov.au/dataset/tern-ecosystem-processes/sv-wambiana_grazing_trial__qdadeu0004_20211021,sampling duration,http://linked.data.gov.au/def/tern-cv/20d4e292-adc1-4585-8f81-c2a0e92eacab,2,N/A,Day,http://qudt.org/vocab/unit/DAY
http://linked.data.gov.au/dataset/tern-ecosystem-processes/ant_survey-attr-samplingduration-wambiana_grazing_trial__qdadeu0005_20211021,20211021,http://linked.data.gov.au/dataset/tern-ecosystem-processes/sv-wambiana_grazing_trial__qdadeu0005_20211021,sampling duration,http://linked.data.gov.au/def/tern-cv/20d4e292-adc1-4585-8f81-c2a0e92eacab,2,N/A,Day,http://qudt.org/vocab/unit/DAY
http://linked.data.gov.au/dataset/tern-ecosystem-processes/ant_survey-attr-samplingduration-wambiana_grazing_trial__qdadeu0006_20211021,20211021,http://linked.data.gov.au/dataset/tern-ecosystem-processes/sv-wambiana_grazing_trial__qdadeu0006_20211021,sampling duration,http://linked.data.gov.au/def/tern-cv/20d4e292-adc1-4585-8f81-c2a0e92eacab,2,N/A,Day,http://qudt.org/vocab/unit/DAY
http://linked.data.gov.au/dataset/tern-ecosystem-processes/ant_survey-attr-samplingduration-warra_tall_eucalypt__core1ha_20141212,20141212,http://linked.data.gov.au/dataset/tern-ecosystem-processes/sv-warra_tall_eucalypt__core1ha_20141212,sampling duration,http://linked.data.gov.au/def/tern-cv/20d4e292-adc1-4585-8f81-c2a0e92eacab,3,N/A,Day,http://qudt.org/vocab/unit/DAY
http://linked.data.gov.au/dataset/tern-ecosystem-processes/ant_survey-attr-samplingduration-warra_tall_eucalypt__core1ha_20150519,20150519,http://linked.data.gov.au/dataset/tern-ecosystem-processes/sv-warra_tall_eucalypt__core1ha_20150519,sampling duration,http://linked.data.gov.au/def/tern-cv/20d4e292-adc1-4585-8f81-c2a0e92eacab,3,N/A,Day,http://qudt.org/vocab/unit/DAY
http://linked.data.gov.au/dataset/tern-ecosystem-processes/ant_survey-attr-samplingduration-whroo_dry_eucalypt__core1ha_20141118,20141118,http://linked.data.gov.au/dataset/tern-ecosystem-processes/sv-whroo_dry_eucalypt__core1ha_20141118,sampling duration,http://linked.data.gov.au/def/tern-cv/20d4e292-adc1-4585-8f81-c2a0e92eacab,3,N/A,Day,http://qudt.org/vocab/unit/DAY
http://linked.data.gov.au/dataset/tern-ecosystem-processes/ant_survey-attr-samplingduration-whroo_dry_eucalypt__core1ha_20150501,20150501,http://linked.data.gov.au/dataset/tern-ecosystem-processes/sv-whroo_dry_eucalypt__core1ha_20150501,sampling duration,http://linked.data.gov.au/def/tern-cv/20d4e292-adc1-4585-8f81-c2a0e92eacab,3,N/A,Day,http://qudt.org/vocab/unit/DAY
http://linked.data.gov.au/dataset/tern-ecosystem-processes/ant_survey-attr-samplingduration-wombat_stringybark_eucalypt__core1ha_20141212,20141212,http://linked.data.gov.au/dataset/tern-ecosystem-processes/sv-wombat_stringybark_eucalypt__core1ha_20141212,sampling duration,http://linked.data.gov.au/def/tern-cv/20d4e292-adc1-4585-8f81-c2a0e92eacab,3,N/A,Day,http://qudt.org/vocab/unit/DAY
http://linked.data.gov.au/dataset/tern-ecosystem-processes/ant_survey-attr-samplingduration-wombat_stringybark_eucalypt__core1ha_20150501,20150501,http://linked.data.gov.au/dataset/tern-ecosystem-processes/sv-wombat_stringybark_eucalypt__core1ha_20150501,sampling duration,http://linked.data.gov.au/def/tern-cv/20d4e292-adc1-4585-8f81-c2a0e92eacab,3,N/A,Day,http://qudt.org/vocab/unit/DAY
